Region,Province,District,ContractID,Contractor,Road(KM),Bridge(M),Structure(M),Cost(USD),ContractSignDate,PlanStartDate,ActualStartDate,PlanCompletionDate,ActualCompletionDate,Status,LabourDay,PhysicalProgress,StatusID,ProjectID,ContractTypeID,Project,ContractorID,DistrictID,ProvinceID,SurfaceOption
Centeral Highlands,Bamyan,Waras,RRD/TF/NERAP/CHL/BMN/007/C2/002,Afghan Ghori Construction Company,18,,,468857.08,22-Aug-10,12-Aug-10,1-May-11,16-Sep-11,30-Sep-12,Completed,6409,100,4,17,2,NERAP - MRRD - TF,1058,16,2,Gravelling
Centeral Highlands,Daykundi,Sangi Takht,RRD/TF/NERAP/CHL/DKI/005/C2/001,Hamkar Construction Company,19.2,,1014.1,814554.64,3-Apr-10,7-Apr-10,30-Jun-10,1-Jul-11,15-Nov-12,Completed,7431,100,4,17,6,NERAP - MRRD - TF,454,25,3,Gravelling
Centeral Highlands,Daykundi,Shahristan,RRD/TF/NERAP/CHL/DKI/010/C2/001,Sultan Ali Construction Company,3.4,,63.5,153533.5,21-Apr-12,17-Apr-12,1-May-12,4-Sep-12,5-Dec-12,Completed,1662,100,4,17,2,NERAP - MRRD - TF,545,26,3,Gravelling
Centeral Highlands,Ghor,Dawlat Yar,RRD/TF/NERAP/CHL/GHR/017/C2/001,Bratharan Dawlatyar Construction and Road Construction Company,5.23,,56.1,202622.28,22-Sep-13,25-Sep-13,1-Oct-13,31-Dec-13,30-Nov-13,Completed,5180,100,4,17,2,NERAP - MRRD - TF,1086,9,1,Gravelling
East,Kunar,Khas Kunar,RRD/TF/NERAP/EAST/KUN/018/C1/001,Community,1.4,,68,39353.11,27-Aug-13,1-Oct-13,1-Oct-13,28-Feb-14,30-Dec-13,Completed,1600,100,4,17,2,NERAP - MRRD - TF,2,127,12,Gravelling
East,Kunar,Khas Kunar,RRD/TF/NERAP/EAST/KUN/018/C1/002,Community,1,,195.6,38671.55,27-Aug-13,1-Oct-13,1-Oct-13,28-Feb-14,30-Dec-13,Completed,1458,100,4,17,2,NERAP - MRRD - TF,2,127,12,Gravelling
East,Kunar,Khas Kunar,RRD/TF/NERAP/EAST/KUN/018/C1/003,Community,1,,135.6,29872.9,27-Aug-13,1-Oct-13,1-Oct-13,28-Feb-14,30-Dec-13,Completed,1692,100,4,17,2,NERAP - MRRD - TF,2,127,12,Gravelling
East,Kunar,Khas Kunar,RRD/TF/NERAP/EAST/KUN/018/C1/004,Community,1,,1.8,29664.73,27-Aug-13,1-Oct-13,1-Oct-13,28-Feb-14,30-Dec-13,Completed,1480,100,4,17,2,NERAP - MRRD - TF,2,127,12,Gravelling
East,Nangarhar,Ghani Khail,RRD/TF/NERAP/EAST/NGR/008/C2/001,Tafakhur-e- Tellai (Golden Mind) Construction Company,17.8,,,460000.2,1-Jun-12,28-May-12,28-May-12,2-Feb-13,10-Jul-13,Completed,9008,100,4,17,2,NERAP - MRRD - TF,1423,482,10,Gravelling
East,Nangarhar,Bihsud,RRD/TF/NERAP/EAST/NGR/011/C2/001,Buildtech Engineering and Construction Company,10,,187,311953.93,10-Jul-11,10-Jul-11,9-Aug-11,3-Jun-12,3-Aug-12,Completed,8079,100,4,17,2,NERAP - MRRD - TF,1407,106,10,Gravelling
East,Nangarhar,Rodat,RRD/TF/NERAP/EAST/NGR/019/C1/001,Community,2,,134.8,40754.83,10-Apr-13,14-Mar-13,14-Mar-13,20-Sep-13,15-Oct-13,Completed,2658,100,4,17,2,NERAP - MRRD - TF,2,94,10,Gravelling
East,Nangarhar,Rodat,RRD/TF/NERAP/EAST/NGR/019/C1/002,Community,2,,28.2,38340.28,10-Apr-13,14-Mar-13,14-Mar-13,20-Sep-13,15-Oct-13,Completed,2984,100,4,17,2,NERAP - MRRD - TF,2,94,10,Gravelling
East,Nangarhar,Rodat,RRD/TF/NERAP/EAST/NGR/019/C1/003,Community,2,,,40737.89,10-Apr-13,14-Mar-13,15-Jun-13,20-Sep-13,30-Oct-13,Completed,2916,100,4,17,2,NERAP - MRRD - TF,2,94,10,Gravelling
Kabul,Kapisa,Nijrab,RRD/TF/NERAP/KBL/KAP/025/C1/001,Community,3,,70.05,41388.46,29-Jun-13,1-Aug-13,15-Aug-13,3-Nov-13,27-Dec-13,Completed,2610,100,4,17,2,NERAP - MRRD - TF,2,46,5,Gravelling
Kabul,Kapisa,Nijrab,RRD/TF/NERAP/KBL/KAP/025/C1/002,Community,1,,108.2,41026.46,29-Jun-13,29-Jun-13,15-Aug-13,30-Sep-13,27-Dec-13,Completed,2762,100,4,17,2,NERAP - MRRD - TF,2,46,5,Gravelling
